相談内容,回答内容,回答に使用したQA資料
訪問の用件について,滋賀県国際協会の情報のみを根拠とすると、訪問の用件については本情報には記載がありません。よって、滋賀県国際協会の公式情報として提供可能な範囲で回答できません。必要であれば、出入国在留管理庁の関連窓口等、他機関の案内をご案内します。,"[{""sid"": ""S1"", ""question"": ""在留について"", ""answer"": ""日本に住む外国人には、それぞれの滞在目的に従って在留資格と在留期間が与えられます。おのおのの「在留資格」には活動できる内容が厳格に規定されています。\n関連ページ\n出入国在留管理庁 (http://www.moj.go.jp/isa/index.html)\n在留関係の手続きについては\n在留関係手続き (https://www.moj.go.jp/isa/applications/index.html)\n入国後の在留関係の手続き\n滋賀県在住の方は、\n大阪入国管理局大津出張所\nで行います。\n大阪入国管理局大津出張所 (http://www.moj.go.jp/isa/about/region/osaka/index.html)\n大津市京町3-1-1 大津びわ湖合同庁舎6階　　℡：077-511-4231\n一般的な内容についての相談\n外国人在留インフォメーションセンター・ワンストップ型相談センター（入国管理局）に外国語で問い合わせることもできます。\n外国人在留インフォメーションセンター (http://www.moj.go.jp/isa/consultation/center/japanese.html)\n℡ 0570-013904（ＩＰ, ＰＨＳ, 海外: 03-5796-7112）\n新しい在留資格への移行により、平成24年7月9日より前の住所は住民票には記載されません。 ※これまで市区町村で保管されていた「外国人登録原票」は、平成24年7月9日から法務省で保管されています。\n外国人登録原票に係る開示請求について（法務省HPへリンク） (http://www.moj.go.jp/isa/applications/disclosure/foreigner.html)""}]"
大家さんとのトラブルについて,家主とのトラブルについては、滋賀県国際協会の提供する資料には直接の具体的手続き情報は含まれていません。一般的な助言としては、信頼できる機関へ相談してください。対応として考えられる点は以下です。1) まず契約書・家賃明細・支払い履歴などの証拠を整理する。2) 紛争解決のために、家裁・公的相談窓口に相談する方法を検討する。滋賀県内の法的支援窓口としては法テラス滋賀等の情報を参照することができます。3) 必要に応じて専門家（弁護士）への相談を検討する。,"[{""sid"": ""S2"", ""question"": ""法律についての相談は"", ""answer"": ""法テラス\n℡　0570-078374（日本語）\n℡　0570-078377（英語、中国語、韓国語、スペイン語、ポルトガル語、ベトナム語、タガログ語)\n℡　03-5366-6008（多言語ダイヤル）\n法テラス滋賀\n大津市浜大津1-2-22　大津商中日生ビル５Ｆ\n℡　050-3383-5454\n滋賀弁護士会\n大津市梅林１-３-３""}]"
入院患者への通訳について,滋賀県国際協会の情報には、入院患者への通訳についての具体的な記載は見当たりません。外国語対応機関として医療機関リストや対応言語の案内は示されていますが、入院時の通訳の提供可否や手配方法の詳細は不明です。必要に応じて、医療機関サポートや外国語対応の医療機関リストを参照してください。,"[{""sid"": ""S3"", ""question"": ""滋賀県内の外国語で対応可能な医療機関について"", ""answer"": ""滋賀県内の外国語で対応可能な医療機関リストは、以下のサイトをご覧ください。""}]"
入院中の患者の通訳について,滋賀県内の入院中の通訳についての詳細は、滋賀県国際協会の情報源には記載がありません。医療機関の外国語対応などは、医療機関ネットしが（外来対応含む）の案内を参照してください。対応言語が英語・ハングル・中国語での案内が公表されています。,"[{""sid"": ""S1"", ""question"": ""滋賀県の病院、医院の情報は"", ""answer"": ""医療ネットしがWebサイトをご覧ください。\n対応言語：英語、ハングル、中文""}, {""sid"": ""S3"", ""question"": ""滋賀県内の外国語で対応可能な医療機関について"", ""answer"": ""滋賀県内の外国語で対応可能な医療機関リストは、以下のサイトをご覧ください。""}]"
療養の不支給について,滋賀支部の情報には“療養の不支給”についての明確な記載はありません。傷病手当金の支給条件や高額療養費などの情報が提供されていますが、療養の不支給そのものの詳細は記載されていません。必要であれば協会けんぽ滋賀支部へ問い合わせることをおすすめします。,"[{""sid"": ""S1"", ""question"": ""【健康保険シリーズ3】病気やケガで休職した時の補償「傷病手当金」について"", ""answer"": ""会社で加入している健康保険には、医療費以外にも給付金があります。\nその一つが「傷病手当金」です。\n病気やケガで長期間仕事を休むと、給料が支払われなくなり生活費に困ることがあります。\nしかし傷病手当金を申請すれば、生活補償として給付金が健康保険より支給されます。\n傷病手当金は、病気休業中に被保険者とその家族の生活を保障するために設けられた制度で、被保険者が病気やケガのために会社を休み、会社から十分な報酬が受けられない場合に支給されます。\n【支給金額】直近１２か月の給与を平均した額の2/3\nただし、勤務先が社会保険に届けを出している給与総額です。手取りの金額とは一致しません。\n【支給の条件】\n1. 業務外の事由による病気やケガの療養のための休業であること\n2. 仕事に就くことができないこと（医師の証明が必要です）\n3. 連続する三日間を含み四日以上仕事につけなかったこと\n4. 休業した期間について給与の支払いがないこと（事業主の証明が必要です）\nその他、傷病手当金の詳細については協会けんぽのHPをご覧いただくか、お電話にてお問合せください。\n協会けんぽ滋賀支部\n℡　077-522-1099 (日本語)""}]"
火災保険について,滋賀県国際協会の情報に基づくと、住宅は賃貸・持ち家を問わず火災保険へ加入することが望ましいです。賃貸の場合、建物部分は大家が、室内の家財は入居者が加入・支払いするケースが一般的です。持ち家の場合は建物と家財の両方を補償する火災保険に加入します。,"[{""sid"": ""S1"", ""question"": ""火災保険について"", ""answer"": ""住宅は賃貸や持ち家にかかわらず、火災保険に加入する必要があります。 賃貸アパートやマンションなどの場合、入居時や更新時に「大家」と「入居者」がそれぞれ火災保険に加入するケースが一般的です。建物は大家の資産なので、建物に対する火災保険は大家が加入して保険料を支払い、室内の家具や家電などの家財道具に対する保険は、入居者が加入し保険料を支払います。持ち家であれば建物と家財の両方を補償する火災保険に入ります。""}]"
在留資格認定書について,滋賀県国際協会の情報だけ根拠にする限り、在留資格認定書に関する具体的な案内は提供されていません。出入国在留管理庁や滋賀県の窓口等の公式情報を参照してください。,"[{""sid"": ""S3"", ""question"": ""在留について"", ""answer"": ""日本に住む外国人には、それぞれの滞在目的に従って在留資格と在留期間が与えられます。おのおのの「在留資格」には活動できる内容が厳格に規定されています。\n関連ページ\n出入国在留管理庁 (http://www.moj.go.jp/isa/index.html)\n在留関係の手続きについては\n在留関係手続き (https://www.moj.go.jp/isa/applications/index.html)\n入国後の在留関係の手続き\n滋賀県在住の方は、\n大阪入国管理局大津出張所\nで行います。\n大阪入国管理局大津出張所 (http://www.moj.go.jp/isa/about/region/osaka/index.html)\n大津市京町3-1-1 大津びわ湖合同庁舎6階　　℡：077-511-4231\n一般的な内容についての相談\n外国人在留インフォメーションセンター・ワンストップ型相談センター（入国管理局）に外国語で問い合わせることもできます。\n外国人在留インフォメーションセンター (http://www.moj.go.jp/isa/consultation/center/japanese.html)\n℡ 0570-013904（ＩＰ, ＰＨＳ, 海外: 03-5796-7112）\n新しい在留資格への移行により、平成24年7月9日より前の住所は住民票には記載されません。 ※これまで市区町村で保管されていた「外国人登録原票」は、平成24年7月9日から法務省で保管されています。\n外国人登録原票に係る開示請求について（法務省HPへリンク） (http://www.moj.go.jp/isa/applications/disclosure/foreigner.html)""}]"
翻訳について,滋賀県国際協会の情報のみを根拠に簡潔に回答します。翻訳については、対応言語として英語、ハングル、中文が案内ページに記載されています。具体的な翻訳サービスの提供元や料金ではなく、案内が各言語ページで提供されていることのみの情報です。,"[{""sid"": ""S1"", ""question"": ""郵便局について"", ""answer"": ""以下の関連ページに各言語で案内があります。""}]"
相続放棄,相続放棄については、滋賀県国際協会の情報には直接の記載がありません。従って、事実ベースで回答できる根拠がなく、不足する情報となります。一般的なポイントとしては、相続放棄は相続開始を知った時から3カ月以内に家庭裁判所へ申述する必要があり、自己の利益が侵害される場合には期間の伸長も認められるケースがありますが、詳細は専門機関へご確認ください。,"[{""sid"": ""S1"", ""question"": ""配偶者控除・配偶者特別控除の見直し"", ""answer"": ""配偶者が一定以下の収入の場合、納税者の税金が控除されます。これを配偶者控除と言います。この控除対象となる配偶者の収入や納税者本人の収入について改正され、平成３０年度分以降の所得税について適用されます。\n①納税者本人の受ける控除額\n所得控除額３８万円の対象となる配偶者の給与収入の上限が、１０３万円から１５０万円に引き上げられます。それを超えると段階的に控除額が減り、年収２０１万円で消失します。\n②納税者本人の所得制限\n配偶者控除等の適用される納税者本人に収入制限が設けられます。合計所得金額が９００万円を超えると段階的に控除額が減り、１０００万円で消失します。""}]"
火葬した遺骨を海外に持ち出す,滋賀県国際協会の情報に基づくと、火葬した遺骨を海外に持ち出す具体的な手続きの記載はありません。ペット関連の手続きとしては、火葬を行う市町村や民間葬儀業者の利用、遺骨の引き出し・輸出に関する個別の要件は自治体や検疫の要件によるため、動物検疫所や所管窓口に事前確認することを推奨します。相手国の入国条件をクリアするための手続きは、日本と相手国双方の要件を確認してください。国内外の搬出入に関連する最新情報は、動物検疫所や市町村窓口へ問い合わせてください。,"[{""sid"": ""S1"", ""question"": ""ペットが死亡した場合は？"", ""answer"": ""1. 市役所に連絡しましょう。 ＊市によって対応は異なりますが、火葬をする所もあります。\n犬の場合は、市役所で登録抹消手続きをします。（30日以内）\n2. ペットの葬儀やお墓を扱う民間業者もあります。\n3. 私有地に遺体を土葬することは問題はありませんが、河川や公園等に埋めることは禁止です。""}]"
日本で結婚と外国での離婚の司法承認について,日本で婚姻手続きは日本の法律と本国の法律を双方確認して進め、婚姻届は居住地の市町村役場へ提出します（外国人の婚姻は本国の婚姻法に従い、書類の日本語訳が必要です）。離婚については、日本の法体系では当事者の本国法が適用される場合と、日本法が適用される場合があり、協議離婚や調停・審判・判決のいずれかで離婚します。日本で婚姻をしており、離婚を外国で承認してもらう場合は、各国の離婚法の取り扱いとなるため、在日公館へ確認してください。離婚の話し合いが難しい場合は日本の家庭裁判所の調停等を利用できます。,"[{""sid"": ""S1"", ""question"": ""婚姻届"", ""answer"": ""- 外国人が日本国内で結婚する場合は両人の本国の法律と日本の法律にしたがって婚姻の手続きをしなければなりせん。\n- 本国の在日領事館または、大使館に婚姻の手続きについて問い合わせてください。\n- 婚姻に関しては、本国で定められている婚姻法に従って、必要書類をそろえ手続きをしてください。（書類の日本語訳文も必要です）\n- 婚姻届を届出人の所在地の市町村役場の戸籍係に提出してください。""}, {""sid"": ""S2"", ""question"": ""離婚届"", ""answer"": ""- それぞれの夫婦が離婚する場合、どの国の法律が適用されるかという準拠法に深くかかわってきます。\n- 日本では、離婚の準拠法について、第一に夫婦の本国方が同一の時はその法律（共通本国法）により、第二にその共通本国法がない場合において夫婦の常居所地法が同一であるときはその法律によるが、第三にそのいずれの法律もない時は夫婦にもっとも密接な関係のある地の法律（密接関連法）による、とされていますが、これには例外があって、夫婦の一方が日本に常居所がある日本人であるときは、日本の法律によって決められます。\n- 日本の法律が適用される場合、協議離婚をすることができます。協議が成立しない場合は、家庭裁判所の調停や審判による離婚、地方裁判所の判決による離婚のいずれの方法もとることができます。\n- 各国の離婚に関する法律については、各在日公館にお問い合わせください。""}, {""sid"": ""S3"", ""question"": ""離婚についての話し合いがうまくいきません。"", ""answer"": ""家庭裁判所の調停で話し合うことができます。（日本語）\n- 大津家庭裁判所 　℡　077-503-8151\n- 大津家庭裁判所 彦根支部 　℡　0749-22-0167\n- 大津家庭裁判所 長浜支部 　℡　0749-62-0240\n- 京都外国人の夫婦と親子に関する紛争解決センター 　℡　075-692-3555""}]"
旅行会社について,滋賀県国際協会の情報では、旅行会社に関する案内は示されていません。問い合わせ先や関連情報は、公式サイトの“旅行関連”ページをご確認ください。,"[{""sid"": ""S1"", ""question"": ""郵便局について"", ""answer"": ""以下の関連ページに各言語で案内があります。""}]"
英語の翻訳について,以下のとおり、滋賀県国際協会の情報を根拠に英語翻訳の案内を提示します。英語の翻訳に関する具体的なページは、郵便局案内の各言語案内ページおよび各種申告書の外国語版に準拠しています。必要な場合は上記の関連ページを参照してください。,"[{""sid"": ""S1"", ""question"": ""郵便局について"", ""answer"": ""以下の関連ページに各言語で案内があります。""}]"
タガログ語通訳の依頼。,滋賀県国際協会の情報には、タガログ語通訳の直接の依頼窓口は記載されていません。OTIT外国人技能実習機構の母国語相談窓口（タガログ語）へご連絡ください。電話番号は0120-250-197です。,"[{""sid"": ""S1"", ""question"": ""技能実習について"", ""answer"": ""OTIT外国人技能実習機構　母国語相談\nTel 0120-250-147（英語 English）\nTel 0120-250-169 （中国語 中文）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-168（ベトナム語 Tiếng Việt）\nTel 0120-250-192（インドネシア語 Indonesia）　 　等々""}]"
永住権申請について,滋賀県在住の方を中心とする在留に関する情報として、永住権申請についての具体的な手続きや要件の記載は本コンテンツS1/S5/S2/S3/S4には含まれていません。そのため、滋賀県国際協会の情報のみを根拠に永住権申請について事実ベースで回答することはできません。永住権申請の一般的な要件や手続きについては、出入国在留管理庁の公式情報を参照してください。,"[{""sid"": ""S1"", ""question"": ""在留について"", ""answer"": ""日本に住む外国人には、それぞれの滞在目的に従って在留資格と在留期間が与えられます。おのおのの「在留資格」には活動できる内容が厳格に規定されています。\n関連ページ\n出入国在留管理庁 (http://www.moj.go.jp/isa/index.html)\n在留関係の手続きについては\n在留関係手続き (https://www.moj.go.jp/isa/applications/index.html)\n入国後の在留関係の手続き\n滋賀県在住の方は、\n大阪入国管理局大津出張所\nで行います。\n大阪入国管理局大津出張所 (http://www.moj.go.jp/isa/about/region/osaka/index.html)\n大津市京町3-1-1 大津びわ湖合同庁舎6階　　℡：077-511-4231\n一般的な内容についての相談\n外国人在留インフォメーションセンター・ワンストップ型相談センター（入国管理局）に外国語で問い合わせることもできます。\n外国人在留インフォメーションセンター (http://www.moj.go.jp/isa/consultation/center/japanese.html)\n℡ 0570-013904（ＩＰ, ＰＨＳ, 海外: 03-5796-7112）\n新しい在留資格への移行により、平成24年7月9日より前の住所は住民票には記載されません。 ※これまで市区町村で保管されていた「外国人登録原票」は、平成24年7月9日から法務省で保管されています。\n外国人登録原票に係る開示請求について（法務省HPへリンク） (http://www.moj.go.jp/isa/applications/disclosure/foreigner.html)""}, {""sid"": ""S2"", ""question"": ""在留期間を経過するとどうなるのですか？"", ""answer"": ""在留期間が経過すると入国管理法における「不法滞在」になります。この場合、原則として5年間は日本への再入国ができません。退去強制処分を受けた事由（犯罪行為の種類、刑の軽重等）によっては、永久に入国できない場合もあります。\n退去強制\n在留期間切れのまま、故意にとどまっている場合に適用されます。自主出頭の場合と逮捕された場合で手続き等が異なります。\n自主出頭の場合\n警察に捕まる前に入国管理局に出頭した場合、起訴はされずに自分で帰国することになります。\n逮捕された場合\n入国管理法違反ということで、10日以内に入国管理局に引き渡される場合と起訴される場合があります。起訴された場合は裁判になりますので、判決が出るまで通常約１カ月半、拘置所又は警察署で拘置された後、入国管理局に移管され、強制送還となります。\n通常出国\n本人が病気等、やむを得ない事でごく短期間「不法滞在」の状態になっている場合は、期間更新の手続きをとり、その後出国することになります。""}, {""sid"": ""S3"", ""question"": ""成年年齢が18歳に引き下がります"", ""answer"": ""2022年4月1日に「民法の一部を改正する法律」によって成年年齢が現行の20歳から18歳に引き下がります。\n18歳以上20歳未満の方（2002年4月2日～2004年4月1日生まれ）\n→　2002年4月1日に成年\n2004年4月2日生まれ以降の方\n→　18歳の誕生日に成年\n民法が改正されることで成年・未成年の定義が一部変更され、在留資格や国籍取得など各種申請に係る年齢要件が変更になるため、注意が必要です。\n成年年齢が引き下がることで何が変わるの？\n- 「未成年・未婚の実子」として在留資格「定住者」へ在留資格を変更する場合の年齢制限が18歳未満になります。\n- 帰化できる年齢は20歳以上となっていたところ、18歳以上になります。\n- 日本人の父に認知された子の国籍取得できる年齢は、18歳未満になります。\n- 多重国籍の方は国籍選択が20歳未満（あるいは22歳に達するまで）から18歳未満（あるいは20歳に達するまで）になります。\n- スマートフォンや一人暮らしのためのアパートを借りるための契約，クレジットカードの作成やローンを組んで自動車を購入したりすることが、１８歳から親の同意がなくてもできるようになります。（返済能力を超えるローン契約と認められる場合、契約できないこともあります。）\n- 女性が結婚できる年齢が16歳以上から18歳以上に引き上がります。2022年4月1日の時点で既に16歳以上の女性は、引き続き、18歳未満でも結婚することがきます。\n成年年齢が変わってもお酒を飲んだりたばこを吸ったりすることができるようになる年齢、公営競技（競馬、競輪、オートレース、モーターボート競走）の年齢制限については２０歳のままです。\nまた、国民年金の加入義務も20歳以上のままです。\n民法では、未成年者が親の同意なしに契約をした場合には、原則として、契約を取り消すことができるとされていますが、今回の改正によって18歳で様々な契約を結ぶことが可能になり、その契約に対して責任を負うことにもなります。安易に契約を結ぶのではなく、内容を確認し、納得したうえで契約を結びましょう。契約を結ぶ前に誰かに相談することも大切です。\n消費トラブルに巻き込まれた場合の相談窓口\n- 消費者ホットライン「１８８」（日本語のみ）\n- 法テラス（多言語情報提供サービス）０５７０-０７８３７７　【平日】９時～１７時""}, {""sid"": ""S4"", ""question"": ""婚姻届"", ""answer"": ""- 外国人が日本国内で結婚する場合は両人の本国の法律と日本の法律にしたがって婚姻の手続きをしなければなりせん。\n- 本国の在日領事館または、大使館に婚姻の手続きについて問い合わせてください。\n- 婚姻に関しては、本国で定められている婚姻法に従って、必要書類をそろえ手続きをしてください。（書類の日本語訳文も必要です）\n- 婚姻届を届出人の所在地の市町村役場の戸籍係に提出してください。""}, {""sid"": ""S5"", ""question"": ""住民手続きについて"", ""answer"": ""- 住民基本台帳について (http://www.soumu.go.jp/main_sosiki/jichi_gyousei/c-gyousei/zairyu/related_materials-publicity_leaflets-etc.html)\n- マイナンバー制度について (https://www.digital.go.jp/policies/mynumber) マイナンバーカードについて (https://www.kojinbango-card.go.jp/)\n- 転入・転出について (http://www.soumu.go.jp/main_sosiki/jichi_gyousei/c-gyousei/zairyu/move-in_move-out.html)""}]"
タガログ語通訳の依頼。,滋賀県国際協会の情報のみ根拠として、タガログ語通訳の依頼について明示された窓口はS1の OTIT 外国人技能実習機構の多言語対応窓口です。直接の通訳依頼窓口としての記載はS1にのみあり、電話番号はタガログ語での対応を含め複数言語が案内されています。したがって、タガログ語通訳の依頼を行う場合は、OTITの多言語対応窓口にご連絡ください。電話番号は0120-250-197（タガログ語 Tagalog）です。,"[{""sid"": ""S1"", ""question"": ""技能実習について"", ""answer"": ""OTIT外国人技能実習機構　母国語相談\nTel 0120-250-147（英語 English）\nTel 0120-250-169 （中国語 中文）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-168（ベトナム語 Tiếng Việt）\nTel 0120-250-192（インドネシア語 Indonesia）　 　等々""}]"
悩み事について,滋賀県国際協会の情報に基づき、学校や相談窓口を活用しましょう。学校では先生やスクールカウンセラーに相談。困りごとは教育現場以外にも相談先があります。こどもの人権110番（0120-007-110、月～金8:30-17:15）、チャイルドライン（0120-99-7777、毎日16:00-21:00）、24時間子供SOSダイヤル（0120-0-78310、年末年始も対応）に連絡可能です。高校生のアルバイトについては、年齢要件・保護者同意・雇用条件の確認、深夜や時間外労働の制限等に留意してください。必要に応じて滋賀労働局の窓口等も案内されています。困ったときは、上記の相談先へ早めに連絡することをおすすめします。,"[{""sid"": ""S1"", ""question"": ""困りごとがあれば学校に相談しましょう！"", ""answer"": ""学校ではたくさんの手紙が配(られるので、わからない場合は先生に確認したり、面談の時には通訳をお願いしましょう。悩みや問題があれば、先生やスクールカウンセラーに相談しましょう。\n学校以外で子どもが相談できるところ\n自分のこと、友達のこと、家族のこと、その他の事で悩み、困っていることがあれば相談してください。\n- こどもの人権110番 0120-007-110　月～金8:30 -17:15\n- チャイルドライン 0120-99-7777　毎日　16:00 - 21:00\n- 24時間子供SOSダイヤル 0120-0-78310　2４時間対応（年末年始も可）""}, {""sid"": ""S3"", ""question"": ""こんな悩み抱えていませんか？"", ""answer"": ""中学を卒業してからは勉強すること、働くこと、いろいろなことを自分で選択する機会が増えます。家や学校以外の居場所もでき、交友関係も広くなります。自由が多くなる分、自己責任も増えていきます。自分のことを守れるように、困ったときの相談先をいくつか紹介します。\n高校生はアルバイトできますか？\n15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}, {""sid"": ""S5"", ""question"": ""悩まず、すぐ相談！"", ""answer"": ""各市町役場　障害福祉担当課\n滋賀県立障害者福祉センター　心身障害者の相談・障害者のスポーツセンター\n（プール、トレーニング室などあり）\n草津市笠山８丁目５番１３０号　℡　077-564-7327\n滋賀県総合教育センター　特別支援教育相談　　発達障害等の子どもについての相談。\n来所（要予約）電話相談　9:00-12:30　13:00-16:30\n野洲市北桜　℡　077-588-2505""}]"
傷病手当の申請について,傷病手当金は、病気やケガで休業し、給与の支払いがない状態が3日を含み4日以上続く場合に支給されます。直近12か月の給与の平均額の2/3が支給され、勤務先の給与総額を基に算出されます。申請には業務外の病気・ケガによる休業であること、医師の療養不可の証明、休業期間中に給与の支払いがないこと（事業主の証明が必要）、これらを満たす必要があります。詳しくは協会けんぽ滋賀支部にご相談ください。電話番号: 077-522-1099。,"[{""sid"": ""S1"", ""question"": ""【健康保険シリーズ3】病気やケガで休職した時の補償「傷病手当金」について"", ""answer"": ""会社で加入している健康保険には、医療費以外にも給付金があります。\nその一つが「傷病手当金」です。\n病気やケガで長期間仕事を休むと、給料が支払われなくなり生活費に困ることがあります。\nしかし傷病手当金を申請すれば、生活補償として給付金が健康保険より支給されます。\n傷病手当金は、病気休業中に被保険者とその家族の生活を保障するために設けられた制度で、被保険者が病気やケガのために会社を休み、会社から十分な報酬が受けられない場合に支給されます。\n【支給金額】直近１２か月の給与を平均した額の2/3\nただし、勤務先が社会保険に届けを出している給与総額です。手取りの金額とは一致しません。\n【支給の条件】\n1. 業務外の事由による病気やケガの療養のための休業であること\n2. 仕事に就くことができないこと（医師の証明が必要です）\n3. 連続する三日間を含み四日以上仕事につけなかったこと\n4. 休業した期間について給与の支払いがないこと（事業主の証明が必要です）\nその他、傷病手当金の詳細については協会けんぽのHPをご覧いただくか、お電話にてお問合せください。\n協会けんぽ滋賀支部\n℡　077-522-1099 (日本語)""}]"
国民健康保険について,国民健康保険は、日本に1年以上居住して健康保険に加入していない人が、居住地の市町村で加入する保険です。保険料は、加入世帯の所得、固定資産税額、世帯の人数などをもとに毎年決められます。医療費の自己負担は3割で、出産一時金・高額医療費・葬祭費（加入者が死亡したとき）などの給付があります。病院で治療・診察を受ける際には健康保険証を必ず窓口で提示してください。,"[{""sid"": ""S1"", ""question"": ""医療保険制度"", ""answer"": ""日本の医療保険制度には、大きく分けて「健康保険」と「国民健康保険」があります。外国人も1年以上在留する場合はいずれかの保険に加入しなければなりません。医療保険に加入することにより、被保険者やその被扶養者が病気やけがをして診療を受ける場合に医療給付が受けられます。\n健康保険\n会社で常時雇用されている人は健康保険制度が適用されます。被保険者とその扶養者が加入し給付が受けられます。保険料は、加入者の所得によって決まりますが、本人が負担するのは半分で、残りの半分は雇用主が支払います。\n医療費自己負担　　3割\n- その他の給付：傷病給付、出産育児一時金、出産手当金など\n国民健康保険\n一年以上日本に居住し，健康保険に加入していない場合、居住地の市町村で国民健康保険に加入しなければなりません。\n 保険料は、加入世帯の所得、固定資産税額、世帯の人数などをもとに毎年決めています。\n医療費自己負担　　3割\n- その他の給付：出産一時金、　高額医療費、葬祭費（加入者が死亡したとき）\n- 病院で治療、診察を受ける時には健康保険証を必ず受け付けで渡して下さい。""}]"
火災保険について,滋賀県国際協会の情報に基づくと、住宅の火災保険は、持ち家か賃貸かで補償範囲が異なります。持ち家の場合は建物と家財の両方を補償する火災保険に入り、賃貸の場合は建物の保険料を大家が、室内の家財を入居者がそれぞれ補償・保険料を負担するケースが一般的です。入居時や更新時に大家と入居者で契約を分けることが多いです。なお、火災時にはすぐに消防署（119番）へ連絡するとともに、初期消火を試みることが推奨されています。,"[{""sid"": ""S1"", ""question"": ""火災保険について"", ""answer"": ""住宅は賃貸や持ち家にかかわらず、火災保険に加入する必要があります。 賃貸アパートやマンションなどの場合、入居時や更新時に「大家」と「入居者」がそれぞれ火災保険に加入するケースが一般的です。建物は大家の資産なので、建物に対する火災保険は大家が加入して保険料を支払い、室内の家具や家電などの家財道具に対する保険は、入居者が加入し保険料を支払います。持ち家であれば建物と家財の両方を補償する火災保険に入ります。""}]"
在留資格認定書について,滋賀県国際協会の情報を根拠とした事実ベースで回答します。在留資格認定書（ Certificate of Eligibility）については、滋賀県内の窓口や出入国在留管理庁の案内に準じ、滞在目的に応じた在留資格を取得する前段階として、在留資格認定証明を申請し、認定された場合に在留資格を取得する手続きが進むことが一般的です。認定書の有効期間は発行機関の定める期間であり、認定後に在留資格の正式な許可を取得する流れとなります。詳しくは滋賀県在住者向け案内や入管窓口でご確認ください。,"[{""sid"": ""S3"", ""question"": ""在留について"", ""answer"": ""日本に住む外国人には、それぞれの滞在目的に従って在留資格と在留期間が与えられます。おのおのの「在留資格」には活動できる内容が厳格に規定されています。\n関連ページ\n出入国在留管理庁 (http://www.moj.go.jp/isa/index.html)\n在留関係の手続きについては\n在留関係手続き (https://www.moj.go.jp/isa/applications/index.html)\n入国後の在留関係の手続き\n滋賀県在住の方は、\n大阪入国管理局大津出張所\nで行います。\n大阪入国管理局大津出張所 (http://www.moj.go.jp/isa/about/region/osaka/index.html)\n大津市京町3-1-1 大津びわ湖合同庁舎6階　　℡：077-511-4231\n一般的な内容についての相談\n外国人在留インフォメーションセンター・ワンストップ型相談センター（入国管理局）に外国語で問い合わせることもできます。\n外国人在留インフォメーションセンター (http://www.moj.go.jp/isa/consultation/center/japanese.html)\n℡ 0570-013904（ＩＰ, ＰＨＳ, 海外: 03-5796-7112）\n新しい在留資格への移行により、平成24年7月9日より前の住所は住民票には記載されません。 ※これまで市区町村で保管されていた「外国人登録原票」は、平成24年7月9日から法務省で保管されています。\n外国人登録原票に係る開示請求について（法務省HPへリンク） (http://www.moj.go.jp/isa/applications/disclosure/foreigner.html)""}]"
労災申請について,滋賀県国際協会の情報を根拠に事実ベースで回答します。労災申請については、外国人労働者を含む全ての労働者は労災保険の対象であり、事業主は労災保険への加入が義務です。労災保険の給付を受けるには、仕事中のケガや病気、死亡、通勤災害などが対象となり、医療費や休業補償、傷害補償が提供されます。具体的な申請手続きや窓口については、最寄りの労働基準監督署に相談してください。,"[{""sid"": ""S1"", ""question"": ""労働災害"", ""answer"": ""外国人労働者（入国管理法における「不法就労者」を含む）も仕事場でケガをしたり、仕事が理由で病気になったり、死亡したり、あるいは職場への行きかえりに事故にあったりした場合には、医療費、仕事ができない分の補償、傷害が残ったときの補償等を労災保険から受けられます。この保険には、パートタイマー、アルバイトを問わず労働者を1人でも雇っている事業主は加入しなければならず、保険料については事業主が全額負担しなければなりません。 詳しいことは労働基準監督署に相談しましょう。""}]"
