相談年月日,相談区分,対応言語名,相談概要,相談方法,回答,参照QA（カテゴリ名つき）リスト

2025/9/8,教育・児童虐待,日本語（日本）,児童虐待の相談があった場合,電話,児童虐待の相談があった場合はすぐに連絡してください。虐待ホットライン（24時間対応）に連絡します。電話番号は 077-562-8996（日本語）、中央子ども家庭相談センターへつながります。住所は草津市笠山七丁目4番45号、電話 077-562-1121。彦根市・大津市・高島市の各センターにも連絡先があります。児童相談所全国共通ダイヤルは 189（24時間対応）です。,"[{""qa_id"": 326, ""カテゴリ名"": ""出産・育児"", ""質問"": ""児童虐待の疑いがある場合はすぐに連絡しましょう"", ""回答"": ""虐待ホットライン（24時間対応）\n電話 : 077-562-8996　（日本語）\n中央子ども家庭相談センター\n草津市笠山七丁目4番45号　　電話: 077-562-1121\n彦根子ども家庭相談センター\n彦根市小泉町932-1　　電話: 0749-24-3741\n大津・高島子ども家庭相談センター\n大津市におの浜4-4-5　　電話: 077-548-7768\n児童相談所全国共通ダイヤル（24時間対応）\n電話：189""}]"

2025/6/2,教育全般,日本語（ブラジル）,保護者との連絡について,電話,滋賀県国際協会の情報では、保護者と学校の関わりに関する具体的な方針はS2に関連します。保護者はPTAや保護者会を通じて学校と協力し、子どもの健全な成長を見守る活動を行います。活動内容は学校ごとに異なるため、入学時の案内を確認してください。なお、虐待の疑いがある場合や児童家庭に関する相談窓口・連絡先についてはS3の虐待対応ダイヤルや各センターの連絡先をご参照ください。,"[{""qa_id"": 289, ""カテゴリ名"": ""教育"", ""質問"": ""[小学校デビューQ＆A] 保護者はどのように学校と関わりますか？"", ""回答"": ""小学校にはPTAや保護者会があります。保護者と教職員が協力し合い、学校に通う子どもたちの健全な成長を見守る活動を行うのが、主な目的です。活動を支えるための入会金も必要になります。学校によって活動内容や運営方法は様々なので、入学時の案内を確認してください。""}, {""qa_id"": 326, ""カテゴリ名"": ""出産・育児"", ""質問"": ""児童虐待の疑いがある場合はすぐに連絡しましょう"", ""回答"": ""虐待ホットライン（24時間対応）\n電話 : 077-562-8996　（日本語）\n中央子ども家庭相談センター\n草津市笠山七丁目4番45号　　電話: 077-562-1121\n彦根子ども家庭相談センター\n彦根市小泉町932-1　　電話: 0749-24-3741\n大津・高島子ども家庭相談センター\n大津市におの浜4-4-5　　電話: 077-548-7768\n児童相談所全国共通ダイヤル（24時間対応）\n電話：189""}]"
2025/4/21,教育全般,"日本語
（ブラジル）",保護者との連絡,電話,滋賀県国際協会の情報に基づくと、保護者との連絡についての具体的な記載は提供されていません。該当する情報源がS4の子育て関連項目には保護者の関与や手続き、相談窓口などが含まれます。必要に応じて、市町の役場や保健センター、家庭児童相談室などの相談窓口を利用してください。,"[{""qa_id"": 318, ""カテゴリ名"": ""出産・育児"", ""質問"": ""子育て応援シリーズ① 子どもが生まれたら"", ""回答"": ""子どもが生まれたらお住まいの役所で様々な手続きがあります。外国籍の子どもには、領事館（大使館）や出入国管理局での手続きも必要になります。\n役所でする手続き\n1. 出生届\n2. 児童手当\n3. 子どもの健康保険\n4. 福祉医療費助成（乳幼児）\n大使館・出入国管理局での手続き\n- 生まれてから30日以内に出入国管理局で子どもの在留許可申請をします。\n- 各国領事館 （大使館）で子どもの国籍を取得し、パスポートの申請をします。\n子どもとお母さんの健康のために\n出産後、子どもとお母さんの健康を定期的に確認します。子どもの各種健診や教室、訪問のほとんどが無料なので積極的に利用しましょう。心配なことがあれば相談しましょう。\n- 産後健診\n- 新生児訪問\n- 予防接種\n- 乳幼児健診\n- 離乳食教室\n子どもの成長、発達が気になる．．．\nまずは乳幼児健診の時やかかりつけ医に相談しましょう。\n市町の保健センター\n市町の発達支援室・センター (https://www.pref.shiga.lg.jp/file/attachment/5397382.pdf)\n発達障害に関する外国人保護者向けパンフレット\n発達障害情報・支援センター (http://www.rehab.go.jp/ddis/world/brochure/)\n育児の不安を相談したい．．．\n市町の家庭児童相談室　市町の役場で相談しましょう。\nこころんだいやる電話相談\nTEL： 077-524-2030\n（子ども・子育て応援センター　電話、または面接での相談ができます）\n児童相談所相談専用ダイヤル\nTEL：0120-189-783\n虐待かな．．．\n児童相談所虐待対応ダイヤル\nTEL：189\n子どもを一時的に預かってほしい．．．（事前登録要）\nファミリー・サポート・センター\nファミリー・サポート・センター (https://www.hugnavi.net/child/family.php)\n「子どもを預けたい人」と「子どもを預かりたい人」を結び付け、保育所までの送迎や、保護者の病気などの際に子どもを預かったりします。\n一時預かり事業\n保護者の病気や用事の時に子どもを保育所などで一時的に預かります。\n病児・病後児保育\n病児・病後児保育 (https://hugnavi.net/child/byouji.php)\n子どもが病気の際、保護者が家庭での保育が難しい場合に、医療機関や保育所等で子どもを一時的に保育します。\n働いているので子どもを保育所で預かってもらいたい．．．\n保育所、認定こども園、認可外子ども施設などで、０歳から子どもを預かってもらえます。施設の利用にはお住まいの市町から利用のための認定を受ける必要があります。市町の役場で相談しましょう。\n一人で子どもを育てています．．．\n経済支援、就労支援のほかに、家事や子育てのサポートが受けられます。\n市町の役場で相談しましょう。\n子どもとお出かけしたい．．．\n地域子育て支援拠点\n地域子育て支援拠点 (https://hugnavi.net/child/base.php)\n子育て中の親子が集い、相互交流や子育ての不安・悩みを相談できる場です。\n児童館\n児童館 (https://hugnavi.net/child/house.php)\n健全な遊びを通して、子どもの発達を援助していく施設です。\n♡滋賀県立びわ湖こどもの国\n滋賀県立びわ湖こどもの国 (http://www.biwa.ne.jp/~kodomo92/sp/index.html)\nたくさんの遊具がある大型の児童館です。　高島市安曇川町北船木\n悩みがあれば、相談しましょう！\n★言葉が心配なときは、「しが外国人相談センター」にお電話ください。\nTEL：077-523-5646\nSHIGA SMILE BABY PROJECT　～ありがとうの贈り物～\nSHIGA SMILE BABY PROJECT　～ありがとうの贈り物～ (https://www.pref.shiga.lg.jp/ippan/kosodatekyouiku/kosodate/319567.html)\n滋賀で生まれた子どもやその家族へ「おめでとう、ありがとう」の思いをこめて、社会全体で出産・子育てを応援しているというメッセージとともに「ありがとうの贈り物」をお届けします。\n対象：１歳未満の赤ちゃん　※事前申し込みが必要です。""}]"
2025/4/28,教育全般,"日本語
（ブラジル）",保護者に連絡したい,電話,滋賀県国際協会の情報の根拠として、児童虐待の疑いがある場合は虐待ホットライン等へ連絡してください（24時間対応、電話 077-562-8996、中央子ども家庭相談センター 077-562-1121 ほか）。保護者に連絡する際は、児童相談所相談専用ダイヤル 0120-189-783 へ相談して指示を仰ぐのが適切です。必要に応じてファミリー・サポート・センターや地域の子育て支援センターも活用できます。,"[{""qa_id"": 326, ""カテゴリ名"": ""出産・育児"", ""質問"": ""児童虐待の疑いがある場合はすぐに連絡しましょう"", ""回答"": ""虐待ホットライン（24時間対応）\n電話 : 077-562-8996　（日本語）\n中央子ども家庭相談センター\n草津市笠山七丁目4番45号　　電話: 077-562-1121\n彦根子ども家庭相談センター\n彦根市小泉町932-1　　電話: 0749-24-3741\n大津・高島子ども家庭相談センター\n大津市におの浜4-4-5　　電話: 077-548-7768\n児童相談所全国共通ダイヤル（24時間対応）\n電話：189""}]"
2025/6/9,教育全般,日本語（ブラジル）,保護者と話したい,電話,滋賀県国際協会の情報には、保護者と学校の関わりに関する具体的な記載は含まれていません。よろしければ、S1〜S5の出典のうち関連する内容をご案内します。,"[{""qa_id"": 289, ""カテゴリ名"": ""教育"", ""質問"": ""[小学校デビューQ＆A] 保護者はどのように学校と関わりますか？"", ""回答"": ""小学校にはPTAや保護者会があります。保護者と教職員が協力し合い、学校に通う子どもたちの健全な成長を見守る活動を行うのが、主な目的です。活動を支えるための入会金も必要になります。学校によって活動内容や運営方法は様々なので、入学時の案内を確認してください。""}]"
2025/7/31,教育全般,日本語（日本）,高校進学について,電話,滋賀県教育委員会の情報によると、高校進学には原則として入学試験が必要で、入学資格は年齢要件（入学予定月の4月1日までに15歳以上）と、外国で9年間の学校教育を修了しているか、日本の中学校卒業または卒業見込みであることが求められます。問い合わせ先は滋賀県教育委員会事務局（077-528-4573）です。なお、高校には全日制・定時制・通信制があり、学習形態に応じて卒業年数が異なる場合があります。進学費用や奨学金情報については別途案内があります。,"[{""qa_id"": 303, ""カテゴリ名"": ""教育"", ""質問"": ""高校の入学"", ""回答"": ""一般の日本の高校へ入学するためには、入学試験に合格しなければなりません。\n応募資格\n年齢が入学しようとする年の4月1日までに15才に達していること。\n原則として、外国で9年間の学校教育を終了しているか、日本の中学校を卒業、又は卒業見込であること。\n入学の問い合わせ\n滋賀県教育委員会事務局 ： 077-528-4573""}]"

2025/5/7,日本語学習,タガログ語,日本語教室,電話,日本語教室について、滋賀県国際協会の情報源に基づくと、以下のグループが挙げられます。彦根ユネスコ協会 子ども日本語教室、ワールドアミーゴクラブ、かんちゃんの小さな家、東近江アミーゴ教室、南米語学学習教室 カミノ教室 カミニョ教室、かみやんど、日和-寺子屋大津、Half half（多文化共生学習会・外国籍の生徒の学習支援教室）です。これらは子ども向け、日本語学習支援を目的としたグループとして記録されています。,"[{""qa_id"": 293, ""カテゴリ名"": ""教育"", ""質問"": ""子どもたちの 学習・遊びのグループ"", ""回答"": ""グループ名:　子どものための日本語教室\nグループ名:　彦根ユネスコ協会 子ども日本語教室\nグループ名:　ワールドアミーゴクラブ\nグループ名:　かんちゃんの小さな家\nグループ名:　東近江アミーゴ教室\nグループ名:　南米語学学習教室　カミノ教室　カミニョ教室\nグループ名:　かみやんど\nグループ名:　日和-寺子屋大津\nグループ名:　多文化共生学習会　Half half（外国籍の生徒のための学習支援教室）""}]"
2025/7/4,日本語学習,英語,日本語を学びたい,来所,滋賀県国際協会の情報に基づくと、日本語を学ぶには滋賀県内の日本語学校や学習支援グループを利用できます。S1の日本語学校リストは滋賀県外の京都を中心としていますが、滋賀にも日本語教育機関や支援団体が存在します。具体的な校名や所在地は提供されていないため、滋賀県内の日本語教育機関を地元の教育委員会や日本語教育支援団体に問い合わせてください。,"[{""qa_id"": 306, ""カテゴリ名"": ""教育"", ""質問"": ""日本語学校 Japanese Language Schools"", ""回答"": ""- 京都日本語学校 (Kyoto Japanese Language School) (http://kjls.or.jp/)\n- 京都文化日本語学校 (Kyoto Institute of Culture and Language) (http://www.kicl.ac.jp/jp/)\n- 京都民際日本語学校 (Kyoto Minsai Japanese Language School) (http://www.kyotominsai.co.jp/)\n- 京都日本語研修センター(Kyoto Japanese Language Training Center) (http://www.kjltc.jp/)\n- YIC京都日本語学院 (YIC Kyoto Japanese Academy) (http://www.yic-kyoto.ac.jp/japanese/)\n- 京都国際アカデミー(Kyoto International Academy of Japanese Language) (http://www.kia-ac.jp/index.html)\n- 日本語センター(Kyoto Japanese Language School) (https://nihongo-center.com/)\n- ARC 京都日本語学校 (ARC Academy Kyoto) (http://japanese.arc-academy.co.jp/?lang=ja)\n- にほんご空間・京都 (Japanese Space Kyoto) (http://j-space.sakura.ne.jp/wp2/)\n- 京進ランゲージアカデミー(Kyoshin Language Academy-Kyoto Chuo School) (http://www.kla.ac/jp/kyoto_chuo/)\n- ISIランゲージスクール 京都校 (ISI Japanese Language School - Kyoto campus) (http://www.isi-education.com/ja/)""}]"
2025/10/6,日本語学習,タガログ語,日本語レッスンについて,来所,日本語レッスンについては、滋賀県国際協会の情報源として挙げられている日本語学校リストはS1に含まれています。具体的なレッスン内容・開講日・料金等の詳細は、それぞれの学校の公式サイトをご確認ください。,"[{""qa_id"": 306, ""カテゴリ名"": ""教育"", ""質問"": ""日本語学校 Japanese Language Schools"", ""回答"": ""- 京都日本語学校 (Kyoto Japanese Language School) (http://kjls.or.jp/)\n- 京都文化日本語学校 (Kyoto Institute of Culture and Language) (http://www.kicl.ac.jp/jp/)\n- 京都民際日本語学校 (Kyoto Minsai Japanese Language School) (http://www.kyotominsai.co.jp/)\n- 京都日本語研修センター(Kyoto Japanese Language Training Center) (http://www.kjltc.jp/)\n- YIC京都日本語学院 (YIC Kyoto Japanese Academy) (http://www.yic-kyoto.ac.jp/japanese/)\n- 京都国際アカデミー(Kyoto International Academy of Japanese Language) (http://www.kia-ac.jp/index.html)\n- 日本語センター(Kyoto Japanese Language School) (https://nihongo-center.com/)\n- ARC 京都日本語学校 (ARC Academy Kyoto) (http://japanese.arc-academy.co.jp/?lang=ja)\n- にほんご空間・京都 (Japanese Space Kyoto) (http://j-space.sakura.ne.jp/wp2/)\n- 京進ランゲージアカデミー(Kyoshin Language Academy-Kyoto Chuo School) (http://www.kla.ac/jp/kyoto_chuo/)\n- ISIランゲージスクール 京都校 (ISI Japanese Language School - Kyoto campus) (http://www.isi-education.com/ja/)""}]"
2025/4/24,日本語学習,"日本語
（フィリピン）",草津の日本語教室,電話,草津で日本語教室として挙げられている情報はS2の日本語学校リストにのみ含まれておらず、草津市を直接示す日本語教室の名称は本文には見当たりません。ただし、S3/S5には草津に関する年金窓口や多文化関連情報が含まれています。もし草津で日本語教室の具体名を知りたい場合は、滋賀県国際協会の他の情報源を確認するか、草津市教育委員会等へ問い合わせてください。,"[{""qa_id"": 306, ""カテゴリ名"": ""教育"", ""質問"": ""日本語学校 Japanese Language Schools"", ""回答"": ""- 京都日本語学校 (Kyoto Japanese Language School) (http://kjls.or.jp/)\n- 京都文化日本語学校 (Kyoto Institute of Culture and Language) (http://www.kicl.ac.jp/jp/)\n- 京都民際日本語学校 (Kyoto Minsai Japanese Language School) (http://www.kyotominsai.co.jp/)\n- 京都日本語研修センター(Kyoto Japanese Language Training Center) (http://www.kjltc.jp/)\n- YIC京都日本語学院 (YIC Kyoto Japanese Academy) (http://www.yic-kyoto.ac.jp/japanese/)\n- 京都国際アカデミー(Kyoto International Academy of Japanese Language) (http://www.kia-ac.jp/index.html)\n- 日本語センター(Kyoto Japanese Language School) (https://nihongo-center.com/)\n- ARC 京都日本語学校 (ARC Academy Kyoto) (http://japanese.arc-academy.co.jp/?lang=ja)\n- にほんご空間・京都 (Japanese Space Kyoto) (http://j-space.sakura.ne.jp/wp2/)\n- 京進ランゲージアカデミー(Kyoshin Language Academy-Kyoto Chuo School) (http://www.kla.ac/jp/kyoto_chuo/)\n- ISIランゲージスクール 京都校 (ISI Japanese Language School - Kyoto campus) (http://www.isi-education.com/ja/)""}, {""qa_id"": 250, ""カテゴリ名"": ""年金・保険"", ""質問"": ""年金の相談は"", ""回答"": ""- ねんきんダイヤル ℡ 0570-05-1165　　　IP電話・PHS: ℡ 03-6700-1165\n- 街角の年金相談センター草津（草津市渋川1-1-50） ℡　077-564-4311\n- 大津年金事務所（大津市打出浜13-5） ℡ 077-521-1789\n- 草津年金事務所（草津市西渋川1-16-35） ℡ 077-567-2220\n- 彦根年金事務所（彦根市外町169-6） ℡ 0749-23-1114""}, {""qa_id"": 345, ""カテゴリ名"": ""福祉"", ""質問"": ""多文化子ども食堂・その他"", ""回答"": ""SHIPS\n内容:　多文化子ども食堂\n開催場所:　草津市　SHIPS\n期間:　第４土曜日　11:00～14:00\n問合せ先:　℡:077-561-5110\nかんちゃんの小さな家\n内容:　多文化共生・地域交流会（子ども食堂）\n開催場所:　近江八幡市　かんちゃんの小さな家\n期間:　２ヶ月に１回\n問合せ先:　℡:090-3708-3315\n彦根市子ども多文化クラブ\n内容:　料理、文化体験、施設見学など\n開催場所:　彦根市内\n期間:　夏休み・冬休み\n問合せ先:　彦根市人権政策 ℡:0749-30-6113""}]"
2025/6/3,日本語学習,タガログ語,滋賀県での日本語学習,電話,滋賀県での日本語学習について、当協会が提供する公式情報には、滋賀県内の日本語教育機関としてのリストは含まれていません。滋賀県内で日本語を学ぶには、地元の語学スクールや大学の日本語講座、または日本語教育を行う施設を市区町村の教育委員会や公式サイトで確認してください。,"[{""qa_id"": 306, ""カテゴリ名"": ""教育"", ""質問"": ""日本語学校 Japanese Language Schools"", ""回答"": ""- 京都日本語学校 (Kyoto Japanese Language School) (http://kjls.or.jp/)\n- 京都文化日本語学校 (Kyoto Institute of Culture and Language) (http://www.kicl.ac.jp/jp/)\n- 京都民際日本語学校 (Kyoto Minsai Japanese Language School) (http://www.kyotominsai.co.jp/)\n- 京都日本語研修センター(Kyoto Japanese Language Training Center) (http://www.kjltc.jp/)\n- YIC京都日本語学院 (YIC Kyoto Japanese Academy) (http://www.yic-kyoto.ac.jp/japanese/)\n- 京都国際アカデミー(Kyoto International Academy of Japanese Language) (http://www.kia-ac.jp/index.html)\n- 日本語センター(Kyoto Japanese Language School) (https://nihongo-center.com/)\n- ARC 京都日本語学校 (ARC Academy Kyoto) (http://japanese.arc-academy.co.jp/?lang=ja)\n- にほんご空間・京都 (Japanese Space Kyoto) (http://j-space.sakura.ne.jp/wp2/)\n- 京進ランゲージアカデミー(Kyoshin Language Academy-Kyoto Chuo School) (http://www.kla.ac/jp/kyoto_chuo/)\n- ISIランゲージスクール 京都校 (ISI Japanese Language School - Kyoto campus) (http://www.isi-education.com/ja/)""}]"

2025/4/23,求職・雇用,英語,仕事探し,電話,滋賀県国際協会の情報に基づき、外国人の方は日本人と同様に求職の支援を受ける権利があります。職業紹介や就労相談は公共職業安定所（ハローワーク）を通じて行われ、就職契約時の重要事項や雇用保険に関する案内も提供されます。,"[{""qa_id"": 270, ""カテゴリ名"": ""労働"", ""質問"": ""求職"", ""回答"": ""日本国内で就労できる外国人の方は日本人と同じように職業紹介を受ける事ができます。\n公共職業安定所　(ハローワーク)\n職業紹介、就労に関する相談などに応じる国の機関が公共職業安定所です。\n仕事が見つかり労働契約を結ぶ時の重要な決まりや雇用保険についてなど、いろいろな相談も合わせて行われています。""}]"
2025/4/30,求職・雇用,ポルトガル語,失業保険について,電話,滋賀県国際協会の情報に基づくと、雇用保険は在職中の雇用安定と失業時の給付を目的とします。離職後、公共職業安定所が認めれば基本手当を受給できます。受給には、日本国内で就労制限がなく反復就労が可能、離職日前2年間の被保険者期間が通算12カ月以上（解雇・倒産時は1年前に6カ月以上）、離職により被保険者資格を喪失したことの確認、仕事をしたくても就けないこと、などの条件があります。詳しくは居住地の公共職業安定所へ問い合わせてください。,"[{""qa_id"": 276, ""カテゴリ名"": ""労働"", ""質問"": ""雇用保険"", ""回答"": ""雇用保険制度とは、在職中の労働者の雇用の安定を図り、失業中の労働者に対して、生活の安定と再就職の促進のために失業等給付を行うものです。　失業等給付は、労働者と事業主が支払う保険料によってまかなわれており、日本で雇用されれば外国の失業保険制度の適用を受けていることが立証された者を除き、原則として国籍（無国籍を含む）のいかんに関わらず被保険者となり、事業主を通じて被保険者になります。\n労働者が会社を自己都合、解雇などで離職した場合、次の条件を満たし、公共職業安定所が認めれば基本手当てを受給することができます。\n- 日本国内での就労に制限のない方で日本において反復して就労することが可能な方。\n- 離職日以前２年間に、被保険者期間が通算して１２ヶ月以上ある。（解雇や倒産の場合は離職の日以前１年間に通算６ヶ月以上）\n- 離職したため、被保険者の資格をなくしたことが確認された。\n- 仕事をしたくても仕事に就けない。\n※詳しくは、居住地の公共職業安定所までお問い合わせください。\n雇用保険の手続きについて (https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/koyou/koyouhoken/index_00003.html)""}]"
2025/9/19,求職・雇用,ポルトガル語,内職について,電話,滋賀県国際協会の情報として、内職についての具体的な案内は提供されていません。内職を含む就労には、一般的には雇用契約や賃金、労働条件の適正性に関する確認が重要です。外国人の就労に関しては、公共職業安定所（ハローワーク）での職業紹介や就労相談が利用可能です。適用される制度・相談窓口等の詳細は、滋賀労働局の連絡先など、公式な窓口へ確認してください。闇バイト等の危険性についての注意喚起も併せて案内されており、相談先として滋賀労働局 雇用環境・均等室、労働条件相談ほっとライン、警察相談ダイヤル#9110が挙げられています。,"[{""qa_id"": 270, ""カテゴリ名"": ""労働"", ""質問"": ""求職"", ""回答"": ""日本国内で就労できる外国人の方は日本人と同じように職業紹介を受ける事ができます。\n公共職業安定所　(ハローワーク)\n職業紹介、就労に関する相談などに応じる国の機関が公共職業安定所です。\n仕事が見つかり労働契約を結ぶ時の重要な決まりや雇用保険についてなど、いろいろな相談も合わせて行われています。""}]"
2025/9/30,求職・雇用,ポルトガル語,給料明細について,来所,給与明細に関する具体的な記載は、所得税の申告要件に直接影響します。給与所得のうち2000万円以下であれば所得税の申告書提出は通常不要ですが、給与から源泉徴収されるため、個別の申告が必要かは給与所得の金額と控除状況により決まります。労働トラブルがある場合は労働基準監督署へ相談してください。ねんきん等の年金情報の確認は、年金定期便やねんきんネットで行えます。,"[{""qa_id"": 336, ""カテゴリ名"": ""税金"", ""質問"": ""所得税"", ""回答"": ""所得のある人は所得税を納めなければなりません。所得は国籍に関わらず1月1日から1年間に得た個人所得のすべてに課税されます。しかし外国人の税金は滞在期間や職種などにより、次のとおりの方法で扱われます。\n- 日本に住所を持ち、または日本に引き続き1年以上居所を有する者や日本に永住しようとしている者で現在まで引き続き5年以上滞在しているものは、外国と日本の所得の両方に基づく税を支払います。\n- 日本に住所を有し、または現在まで引き続いて1年以上居所を有する個人で、日本に永住するつもりがなくかつ現在まで引き続いて5年以内滞在の一時的な居住者は、日本の所得と海外から送られてきたお金に基づく税を支払います。\n- 日本に1年以内の滞在期間で住所を持たないものは、日本の所得だけに基づく税を払います。\n納税者は管轄されている税務署で確定申告を提出します。申告の期間は2月16日から3月15日です。給与収入2000万円以下の給与所得の場合の所得税は、給与から直接差し引かれますので、通常給与所得者は所得税の申告書を提出する必要はありません。""}, {""qa_id"": 273, ""カテゴリ名"": ""労働"", ""質問"": ""労働トラブルの相談"", ""回答"": ""労働関係のトラブルがあった場合は、下記の労働基準監督署に相談しましょう。（労働契約、就労規則、給料明細などがあれば持参してください）""}, {""qa_id"": 252, ""カテゴリ名"": ""年金・保険"", ""質問"": ""自分の年金情報をチェック！"", ""回答"": ""毎年1回、誕生月に国民年金および厚生年金保険の加入者（被保険者）には、年金加入記録の確認のため、「ねんきん定期便」が届きます。届出住所が現住所と異なっている場合、「ねんきん定期便」が届きませんので、住所が変った場合は住所変更を届け出ましょう。\n年金記録の確認は\nねんきんネット (https://www.nenkin.go.jp/n_net/index.html)\n年金定期便・年金専用ダイヤル　℡　0570-058-555\n★\t保険料納付期間が１０年に満たない方も年金事務所で確認しましょう！ 年金記録に漏れがないか。（基礎年金番号が他にないか。別の氏名で登録されたものがないか。 合算対象期間がないか。（特に永住者、日本国籍の方は海外の滞在期間が合算されます。）\n★\t資格期間を満たすために次のような方法があります。 ６０歳から６５歳まで国民年金に任意加入する。（1965年4月1日以前生まれの方は最長７０歳まで任意加入できます） 国民年金後納制度を使い未納期間を解消する。（2018年9月30日まで５年後納制度が適用されます）""}]"
2025/4/4,求職・雇用,"日本語
（その他）",友人の相談,電話,友人の相談にも、まず学校や地域の相談窓口を案内できます。学校での相談は先生やスクールカウンセラーに相談しましょう。学校以外にはこどもの人権110番（0120-007-110）、チャイルドライン（0120-99-7777）、24時間子供SOSダイヤル（0120-0-78310）があります。地域の障害福祉・相談窓口として、滋賀県総合教育センターの特別支援教育相談、滋賀県立障害者福祉センター等を案内しています。必要であれば、各自治体の役場の障害福祉担当課にも相談できます。,"[{""qa_id"": 315, ""カテゴリ名"": ""出産・育児"", ""質問"": ""困りごとがあれば学校に相談しましょう！"", ""回答"": ""学校ではたくさんの手紙が配(られるので、わからない場合は先生に確認したり、面談の時には通訳をお願いしましょう。悩みや問題があれば、先生やスクールカウンセラーに相談しましょう。\n学校以外で子どもが相談できるところ\n自分のこと、友達のこと、家族のこと、その他の事で悩み、困っていることがあれば相談してください。\n- こどもの人権110番 0120-007-110　月～金8:30 -17:15\n- チャイルドライン 0120-99-7777　毎日　16:00 - 21:00\n- 24時間子供SOSダイヤル 0120-0-78310　2４時間対応（年末年始も可）""}, {""qa_id"": 344, ""カテゴリ名"": ""福祉"", ""質問"": ""悩まず、すぐ相談！"", ""回答"": ""各市町役場　障害福祉担当課\n滋賀県立障害者福祉センター　心身障害者の相談・障害者のスポーツセンター\n（プール、トレーニング室などあり）\n草津市笠山８丁目５番１３０号　℡　077-564-7327\n滋賀県総合教育センター　特別支援教育相談　　発達障害等の子どもについての相談。\n来所（要予約）電話相談　9:00-12:30　13:00-16:30\n野洲市北桜　℡　077-588-2505""}, {""qa_id"": 282, ""カテゴリ名"": ""教育"", ""質問"": ""困りごとがあれば学校に相談しましょう！"", ""回答"": ""学校ではたくさんの手紙が配られるので、わからない場合は先生に確認したり、面談の時には通訳をお願いしましょう。悩みや問題があれば、先生やスクールカウンセラーに相談しましょう。\n学校以外で子どもが相談できるところ\n自分のこと、友達のこと、家族のこと、その他の事で悩み、困っていることがあれば相談してください。\n- こどもの人権110番 0120-007-110　月～金　8:30 -17:15\n- チャイルドライン 0120-99-7777　毎日　16:00 - 21:00\n- 24時間子供SOSダイヤル 0120-0-78310　2４時間対応（年末年始も可）""}]"

2025/4/3,社会保険,ポルトガル語,傷病手当について,電話,傷病手当金は、病気やケガのため長期間休職した際に支給される給付金です。支給額は直近12か月の給与平均の2/3で、事業主が社会保険へ届け出た給与総額を基準とします。支給の要件は、業務外の事由による休養であること、医師の証明により就労不能であること、連続する4日以上休業し、かつ休業期間中に給与が支払われていないことです。詳しい適用条件や申請方法については協会けんぽ滋賀支部に問合せしてください。,"[{""qa_id"": 246, ""カテゴリ名"": ""年金・保険"", ""質問"": ""【健康保険シリーズ3】病気やケガで休職した時の補償「傷病手当金」について"", ""回答"": ""会社で加入している健康保険には、医療費以外にも給付金があります。\nその一つが「傷病手当金」です。\n病気やケガで長期間仕事を休むと、給料が支払われなくなり生活費に困ることがあります。\nしかし傷病手当金を申請すれば、生活補償として給付金が健康保険より支給されます。\n傷病手当金は、病気休業中に被保険者とその家族の生活を保障するために設けられた制度で、被保険者が病気やケガのために会社を休み、会社から十分な報酬が受けられない場合に支給されます。\n【支給金額】直近１２か月の給与を平均した額の2/3\nただし、勤務先が社会保険に届けを出している給与総額です。手取りの金額とは一致しません。\n【支給の条件】\n1. 業務外の事由による病気やケガの療養のための休業であること\n2. 仕事に就くことができないこと（医師の証明が必要です）\n3. 連続する三日間を含み四日以上仕事につけなかったこと\n4. 休業した期間について給与の支払いがないこと（事業主の証明が必要です）\nその他、傷病手当金の詳細については協会けんぽのHPをご覧いただくか、お電話にてお問合せください。\n協会けんぽ滋賀支部\n℡　077-522-1099 (日本語)""}]"
2025/9/5,社会保険,ポルトガル語,傷病手当金申請について,電話,傷病手当金は、病気やケガで休業中に給与を受けられない場合に支給されます。支給額は直近12か月の平均給与の2/3で、勤務先が社会保険に届け出ている給与総額を基準とします。支給の条件は以下のとおりです。1) 業務外の事由による休業であること、2) 医師の証明により就業不能と認定されること、3) 連続する3日を含み4日以上仕事につけなかったこと、4) 休業期間中に給与の支払いがないこと（事業主の証明が必要）。詳細は協会けんぽ滋賀支部のHPまたは電話でご確認ください。,"[{""qa_id"": 246, ""カテゴリ名"": ""年金・保険"", ""質問"": ""【健康保険シリーズ3】病気やケガで休職した時の補償「傷病手当金」について"", ""回答"": ""会社で加入している健康保険には、医療費以外にも給付金があります。\nその一つが「傷病手当金」です。\n病気やケガで長期間仕事を休むと、給料が支払われなくなり生活費に困ることがあります。\nしかし傷病手当金を申請すれば、生活補償として給付金が健康保険より支給されます。\n傷病手当金は、病気休業中に被保険者とその家族の生活を保障するために設けられた制度で、被保険者が病気やケガのために会社を休み、会社から十分な報酬が受けられない場合に支給されます。\n【支給金額】直近１２か月の給与を平均した額の2/3\nただし、勤務先が社会保険に届けを出している給与総額です。手取りの金額とは一致しません。\n【支給の条件】\n1. 業務外の事由による病気やケガの療養のための休業であること\n2. 仕事に就くことができないこと（医師の証明が必要です）\n3. 連続する三日間を含み四日以上仕事につけなかったこと\n4. 休業した期間について給与の支払いがないこと（事業主の証明が必要です）\nその他、傷病手当金の詳細については協会けんぽのHPをご覧いただくか、お電話にてお問合せください。\n協会けんぽ滋賀支部\n℡　077-522-1099 (日本語)""}]"
